disease,drug,phase,status,target,num_ev_strings
non-small cell lung carcinoma,ERLOTINIB,2,Completed,EGFR,75
non-small cell lung carcinoma,OSIMERTINIB,2,Recruiting,EGFR,38
non-small cell lung carcinoma,ERLOTINIB,1,Completed,EGFR,31
non-small cell lung carcinoma,ERLOTINIB,3,Completed,EGFR,28
non-small cell lung carcinoma,OSIMERTINIB,1,Recruiting,EGFR,28
non-small cell lung carcinoma,ERLOTINIB,2,Unknown status,EGFR,24
lung carcinoma,ERLOTINIB,2,Completed,EGFR,23
colorectal carcinoma,CETUXIMAB,2,Completed,EGFR,23
non-small cell lung carcinoma,GEFITINIB,2,Completed,EGFR,22
non-small cell lung carcinoma,CETUXIMAB,2,Completed,EGFR,21
head and neck malignant neoplasia,CETUXIMAB,2,Completed,EGFR,20
breast carcinoma,LAPATINIB,2,Completed,EGFR,20
neoplasm,ERLOTINIB,1,Completed,EGFR,20
non-small cell lung carcinoma,OSIMERTINIB,1,"Active, not recruiting",EGFR,18
non-small cell lung carcinoma,ERLOTINIB,2,Terminated,EGFR,18
metastatic colorectal cancer,CETUXIMAB,2,Completed,EGFR,16
non-small cell lung carcinoma,ERLOTINIB,1,Terminated,EGFR,16
neoplasm,AFATINIB,1,Completed,EGFR,16
non-small cell lung carcinoma,GEFITINIB,2,Unknown status,EGFR,15
breast carcinoma,LAPATINIB,1,Completed,EGFR,15
breast neoplasm,LAPATINIB,2,Completed,EGFR,15
pancreatic carcinoma,ERLOTINIB,2,Completed,EGFR,15
breast carcinoma,GEFITINIB,2,Completed,EGFR,14
breast carcinoma,NERATINIB,1,Completed,EGFR,14
breast carcinoma,NERATINIB,2,Recruiting,EGFR,14
breast carcinoma,LAPATINIB,2,Terminated,EGFR,13
non-small cell lung carcinoma,GEFITINIB,3,Completed,EGFR,13
pancreatic carcinoma,ERLOTINIB,1,Completed,EGFR,12
colorectal carcinoma,PANITUMUMAB,2,Completed,EGFR,12
breast neoplasm,LAPATINIB,1,Completed,EGFR,11
lung carcinoma,GEFITINIB,2,Completed,EGFR,11
colorectal carcinoma,CETUXIMAB,1,Completed,EGFR,10
pancreatic carcinoma,CETUXIMAB,2,Completed,EGFR,10
lung carcinoma,ERLOTINIB,1,Completed,EGFR,10
non-small cell lung carcinoma,ERLOTINIB,2,"Active, not recruiting",EGFR,10
colorectal carcinoma,CETUXIMAB,2,Terminated,EGFR,10
pancreatic carcinoma,ERLOTINIB,2,Terminated,EGFR,9
non-small cell lung carcinoma,AFATINIB,2,Completed,EGFR,9
cancer,ERLOTINIB,1,Completed,EGFR,9
head and neck malignant neoplasia,GEFITINIB,2,Completed,EGFR,8
neoplasm,CETUXIMAB,1,Completed,EGFR,8
non-small cell lung carcinoma,DACOMITINIB,2,Completed,EGFR,8
non-small cell lung carcinoma,OSIMERTINIB,2,Not yet recruiting,EGFR,8
metastatic colorectal cancer,PANITUMUMAB,2,Recruiting,EGFR,8
head and neck malignant neoplasia,CETUXIMAB,1,Completed,EGFR,8
non-small cell lung carcinoma,OSIMERTINIB,2,"Active, not recruiting",EGFR,8
non-small cell lung carcinoma,OSIMERTINIB,3,"Active, not recruiting",EGFR,8
breast carcinoma,LAPATINIB,2,"Active, not recruiting",EGFR,8
lung carcinoma,CETUXIMAB,2,Completed,EGFR,8
breast carcinoma,LAPATINIB,1,Terminated,EGFR,8
neoplasm,NERATINIB,1,Completed,EGFR,8
metastatic colorectal cancer,CETUXIMAB,3,Completed,EGFR,7
metastatic colorectal cancer,CETUXIMAB,1,Completed,EGFR,7
non-small cell lung carcinoma,VANDETANIB,2,Completed,EGFR,7
metastatic colorectal cancer,CETUXIMAB,2,Recruiting,EGFR,7
non-small cell lung carcinoma,ERLOTINIB,4,Completed,EGFR,7
metastatic colorectal cancer,PANITUMUMAB,2,Completed,EGFR,7
neoplasm,GEFITINIB,1,Completed,EGFR,7
non-small cell lung carcinoma,GEFITINIB,1,Completed,EGFR,7
colorectal carcinoma,CETUXIMAB,3,Completed,EGFR,7
non-small cell lung carcinoma,ERLOTINIB,3,Terminated,EGFR,7
non-small cell lung carcinoma,AFATINIB,3,Completed,EGFR,6
gliosarcoma,ERLOTINIB,2,Completed,EGFR,6
colorectal carcinoma,PANITUMUMAB,1,Completed,EGFR,6
breast neoplasm,LAPATINIB,3,"Active, not recruiting",EGFR,6
non-small cell lung carcinoma,AFATINIB,2,"Active, not recruiting",EGFR,6
head and neck malignant neoplasia,CETUXIMAB,3,"Active, not recruiting",EGFR,6
breast carcinoma,LAPATINIB,3,"Active, not recruiting",EGFR,6
non-small cell lung carcinoma,CETUXIMAB,1,Completed,EGFR,6
head and neck squamous cell carcinoma,CETUXIMAB,2,"Active, not recruiting",EGFR,6
breast carcinoma,ERLOTINIB,2,Completed,EGFR,6
neoplasm,DACOMITINIB,1,Completed,EGFR,6
breast carcinoma,NERATINIB,2,Completed,EGFR,6
breast neoplasm,AFATINIB,2,Completed,EGFR,6
non-small cell lung carcinoma,GEFITINIB,1,"Active, not recruiting",EGFR,6
colorectal carcinoma,CETUXIMAB,2,"Active, not recruiting",EGFR,6
pancreatic adenocarcinoma,ERLOTINIB,2,Completed,EGFR,6
head and neck malignant neoplasia,ERLOTINIB,2,Completed,EGFR,6
metastatic colorectal cancer,CETUXIMAB,2,Terminated,EGFR,6
gastric carcinoma,CETUXIMAB,2,Completed,EGFR,6
