disease,drug,phase,status,target,num_ev_strings
nephrotic syndrome,PREDNISONE,4,n/a,NR3C1,108
autoimmune thrombocytopenic purpura,PREDNISONE,4,n/a,NR3C1,105
multiple myeloma,DEXAMETHASONE,2,Completed,NR3C1,88
pneumonia,PREDNISONE,4,n/a,NR3C1,71
asthma,BUDESONIDE,3,Completed,NR3C1,67
asthma,FLUTICASONE PROPIONATE,3,Completed,NR3C1,60
multiple myeloma,DEXAMETHASONE,2,Recruiting,NR3C1,59
multiple sclerosis,PREDNISONE,4,n/a,NR3C1,57
asthma,FLUTICASONE PROPIONATE,4,Completed,NR3C1,56
multiple myeloma,DEXAMETHASONE,1,Completed,NR3C1,50
inflammation,DEXAMETHASONE,4,n/a,NR3C1,49
multiple myeloma,DEXAMETHASONE,2,"Active, not recruiting",NR3C1,46
multiple myeloma,DEXAMETHASONE,1,"Active, not recruiting",NR3C1,45
ulcerative colitis,PREDNISONE,4,n/a,NR3C1,44
rheumatoid arthritis,PREDNISONE,4,n/a,NR3C1,44
Crohn's disease,PREDNISONE,4,n/a,NR3C1,44
Sarcoidosis,PREDNISONE,4,n/a,NR3C1,41
multiple myeloma,DEXAMETHASONE,3,Completed,NR3C1,41
subacute thyroiditis,PREDNISONE,4,n/a,NR3C1,40
asthma,PREDNISONE,4,n/a,NR3C1,40
lymphoma,PREDNISONE,2,Completed,NR3C1,39
prostate carcinoma,PREDNISONE,2,Completed,NR3C1,32
asthma,FLUTICASONE PROPIONATE,2,Completed,NR3C1,32
multiple myeloma,DEXAMETHASONE,3,"Active, not recruiting",NR3C1,28
chronic obstructive pulmonary disease,FLUTICASONE PROPIONATE,4,Completed,NR3C1,28
asthma,BUDESONIDE,4,Completed,NR3C1,27
multiple myeloma,DEXAMETHASONE,1,Recruiting,NR3C1,27
inflammation,HYDROCORTISONE,4,n/a,NR3C1,27
lymphoma,DEXAMETHASONE,2,Completed,NR3C1,27
multiple sclerosis,METHYLPREDNISOLONE,4,n/a,NR3C1,26
lymphoma,PREDNISONE,3,Completed,NR3C1,26
