disease,drug,phase,status,target,num_ev_strings
pain,ACETAMINOPHEN,4,n/a,PTGS1,471
pain,IBUPROFEN,4,n/a,PTGS1,199
osteoarthritis,NAPROXEN,4,n/a,PTGS1,176
rheumatoid arthritis,IBUPROFEN,4,n/a,PTGS1,164
osteoarthritis,IBUPROFEN,4,n/a,PTGS1,164
osteoarthritis,DICLOFENAC,4,n/a,PTGS1,132
rheumatoid arthritis,NAPROXEN,4,n/a,PTGS1,128
gout,NAPROXEN,4,n/a,PTGS1,122
juvenile idiopathic arthritis,NAPROXEN,4,n/a,PTGS1,116
dysmenorrhea,IBUPROFEN,4,n/a,PTGS1,114
migraine disorder,ACETAMINOPHEN,4,n/a,PTGS1,97
gout,INDOMETHACIN,4,n/a,PTGS1,74
osteoarthritis,INDOMETHACIN,4,n/a,PTGS1,74
ankylosing spondylitis,INDOMETHACIN,4,n/a,PTGS1,74
pain,ACETAMINOPHEN,4,Completed,PTGS1,59
pain,KETOROLAC,4,n/a,PTGS1,54
dysmenorrhea,NAPROXEN,4,n/a,PTGS1,42
pain,ACETAMINOPHEN,3,Completed,PTGS1,37
pain,NAPROXEN,4,n/a,PTGS1,32
migraine disorder,ASPIRIN,4,n/a,PTGS1,32
ulcerative colitis,MESALAMINE,4,n/a,PTGS1,32
ulcerative colitis,MESALAMINE,3,Completed,PTGS1,32
pain,DICLOFENAC,4,n/a,PTGS1,28
pain,IBUPROFEN,4,Completed,PTGS1,28
pain,IBUPROFEN,3,Completed,PTGS1,27
pain,KETOROLAC,4,Completed,PTGS1,22
coronary artery disease,ASPIRIN,4,Completed,PTGS1,21
rheumatoid arthritis,DICLOFENAC,4,n/a,PTGS1,20
osteoarthritis,DICLOFENAC,3,Completed,PTGS1,17
pain,ACETAMINOPHEN,2,Completed,PTGS1,17
hemorrhage,DICLOFENAC,4,n/a,PTGS1,16
migraine disorder,NAPROXEN,3,Completed,PTGS1,15
pain,DICLOFENAC,3,Completed,PTGS1,15
pain,IBUPROFEN,2,Completed,PTGS1,15
inflammation,KETOROLAC,4,n/a,PTGS1,14
pain,ASPIRIN,4,n/a,PTGS1,13
pain,ACETAMINOPHEN,4,Unknown status,PTGS1,11
pain,KETOROLAC,3,Completed,PTGS1,10
osteoarthritis,NAPROXEN,3,Completed,PTGS1,10
pain,ACETAMINOPHEN,1,Completed,PTGS1,9
pain,ACETAMINOPHEN,4,Recruiting,PTGS1,9
cataract,KETOROLAC,4,Completed,PTGS1,9
migraine disorder,NAPROXEN,4,Completed,PTGS1,9
pain,KETOPROFEN,3,Completed,PTGS1,9
coronary artery disease,ASPIRIN,3,Completed,PTGS1,8
pain,ACETAMINOPHEN,4,Terminated,PTGS1,8
osteoarthritis,NAPROXEN,1,Completed,PTGS1,8
pain,NAPROXEN,3,Completed,PTGS1,8
osteoarthritis,NAPROXEN,2,Completed,PTGS1,7
juvenile idiopathic arthritis,IBUPROFEN,4,n/a,PTGS1,7
pain,KETOROLAC,2,Completed,PTGS1,7
osteoarthritis,DICLOFENAC,4,Completed,PTGS1,6
fever,ACETAMINOPHEN,4,Completed,PTGS1,6
pain,IBUPROFEN,4,Recruiting,PTGS1,6
pain,DICLOFENAC,2,Completed,PTGS1,6
rheumatoid arthritis,SULFASALAZINE,3,Completed,PTGS1,6
coronary artery disease,ASPIRIN,4,Unknown status,PTGS1,6
pain,DEXKETOPROFEN,4,Completed,PTGS1,6
cataract,BROMFENAC,4,Completed,PTGS1,6
ulcerative colitis,MESALAMINE,4,Completed,PTGS1,6
pain,ACETAMINOPHEN,2,Recruiting,PTGS1,6
osteoarthritis,ACETAMINOPHEN,4,Completed,PTGS1,6
pain,DICLOFENAC,1,Completed,PTGS1,6
sprain,DICLOFENAC,3,Completed,PTGS1,5
pain,KETOPROFEN,4,n/a,PTGS1,5
pain,NAPROXEN,1,Completed,PTGS1,5
pain,DICLOFENAC,3,Unknown status,PTGS1,5
pain,DICLOFENAC,4,Completed,PTGS1,5
pain,IBUPROFEN,1,Completed,PTGS1,5
stroke,ASPIRIN,3,Completed,PTGS1,5
fever,ACETAMINOPHEN,3,Completed,PTGS1,5
cataract,NEPAFENAC,3,Completed,PTGS1,5
acute coronary syndrome,ASPIRIN,4,Completed,PTGS1,5
osteoarthritis,ACETAMINOPHEN,3,Completed,PTGS1,5
pain,NAPROXEN,2,Completed,PTGS1,4
cataract,NEPAFENAC,4,Completed,PTGS1,4
Patent ductus arteriosus,IBUPROFEN,3,Completed,PTGS1,4
brain infarction,ASPIRIN,4,Completed,PTGS1,4
pain,ACETAMINOPHEN,4,Not yet recruiting,PTGS1,4
rheumatoid arthritis,SULFASALAZINE,4,Completed,PTGS1,4
rheumatoid arthritis,NAPROXEN,4,Completed,PTGS1,4
ulcerative colitis,MESALAMINE,3,Recruiting,PTGS1,4
multiple myeloma,ASPIRIN,1,Completed,PTGS1,4
migraine disorder,NAPROXEN,4,n/a,PTGS1,4
dysmenorrhea,MEFENAMIC ACID,4,n/a,PTGS1,4
pain,DEXKETOPROFEN,4,Unknown status,PTGS1,4
irritable bowel syndrome,MESALAMINE,2,Completed,PTGS1,4
Crohn's disease,MESALAMINE,3,Completed,PTGS1,4
migraine disorder,IBUPROFEN,4,n/a,PTGS1,4
atrial fibrillation,ASPIRIN,3,Completed,PTGS1,4
Tuberculosis,AMINOSALICYLIC ACID,4,n/a,PTGS1,4
actinic keratosis,DICLOFENAC,3,Completed,PTGS1,4
actinic keratosis,DICLOFENAC,4,Completed,PTGS1,4
osteoarthritis,DICLOFENAC,2,Completed,PTGS1,4
inflammation,NEPAFENAC,4,n/a,PTGS1,4
Ischemic stroke,ASPIRIN,4,Completed,PTGS1,4
osteoarthritis,IBUPROFEN,4,Completed,PTGS1,4
stroke,ASPIRIN,4,n/a,PTGS1,4
fever,IBUPROFEN,4,Completed,PTGS1,4
pain,NAPROXEN,4,Completed,PTGS1,4
stroke,ASPIRIN,4,Completed,PTGS1,4
pulpitis,KETOROLAC,2,Completed,PTGS1,4
fever,IBUPROFEN,3,Completed,PTGS1,4
stroke,ASPIRIN,3,Recruiting,PTGS1,3
rheumatoid arthritis,FLURBIPROFEN,1,Completed,PTGS1,3
peripheral arterial disease,ASPIRIN,4,Completed,PTGS1,3
stroke,ASPIRIN,3,Terminated,PTGS1,3
rheumatoid arthritis,IBUPROFEN,4,Completed,PTGS1,3
influenza infection,ACETAMINOPHEN,4,n/a,PTGS1,3
atrial fibrillation,ASPIRIN,4,Recruiting,PTGS1,3
fever,IBUPROFEN,4,Unknown status,PTGS1,3
pain,NAPROXEN,4,Unknown status,PTGS1,3
osteoarthritis,NAPROXEN,2,Terminated,PTGS1,3
common cold,ACETAMINOPHEN,4,n/a,PTGS1,3
pain,DICLOFENAC,4,Terminated,PTGS1,3
juvenile idiopathic arthritis,NAPROXEN,3,Completed,PTGS1,3
inflammation,DICLOFENAC,1,Completed,PTGS1,3
fever,ACETAMINOPHEN,4,Terminated,PTGS1,3
juvenile idiopathic arthritis,SULFASALAZINE,4,n/a,PTGS1,3
Venous thrombosis,ASPIRIN,1,Completed,PTGS1,3
pain,FLURBIPROFEN,4,Completed,PTGS1,3
colorectal carcinoma,ASPIRIN,3,Recruiting,PTGS1,3
pain,IBUPROFEN,2,Recruiting,PTGS1,3
pain,IBUPROFEN,2,Terminated,PTGS1,3
colon carcinoma,ASPIRIN,3,Recruiting,PTGS1,3
fever,ACETAMINOPHEN,4,n/a,PTGS1,3
migraine disorder,ASPIRIN,3,Completed,PTGS1,3
migraine disorder,ACETAMINOPHEN,4,Completed,PTGS1,3
migraine disorder,ACETAMINOPHEN,3,Completed,PTGS1,3
coronary artery disease,ASPIRIN,4,Recruiting,PTGS1,3
osteoarthritis,IBUPROFEN,3,Completed,PTGS1,3
pain,ACETAMINOPHEN,3,Unknown status,PTGS1,3
hypertension,ASPIRIN,4,Completed,PTGS1,3
cardiovascular disease,ASPIRIN,1,Completed,PTGS1,3
Patent ductus arteriosus,ACETAMINOPHEN,2,Unknown status,PTGS1,3
"osteoarthritis, knee",DICLOFENAC,3,Completed,PTGS1,3
"osteoarthritis, knee",KETOPROFEN,3,Completed,PTGS1,3
type II diabetes mellitus,ASPIRIN,3,Completed,PTGS1,3
pain,KETOROLAC,4,Unknown status,PTGS1,3
gastric ulcer,NAPROXEN,3,Completed,PTGS1,3
type II diabetes mellitus,ASPIRIN,4,Unknown status,PTGS1,3
brain infarction,ASPIRIN,3,Completed,PTGS1,3
HIV-1 infection,ASPIRIN,2,Completed,PTGS1,3
acute coronary syndrome,ASPIRIN,3,Completed,PTGS1,3
rheumatoid arthritis,SULFASALAZINE,4,n/a,PTGS1,3
rheumatoid arthritis,SULFASALAZINE,4,Recruiting,PTGS1,3
osteoarthritis,NAPROXEN,4,Completed,PTGS1,3
ulcerative colitis,MESALAMINE,1,Completed,PTGS1,3
pain,ACETAMINOPHEN,4,Withdrawn,PTGS1,3
ankylosing spondylitis,NAPROXEN,3,Completed,PTGS1,3
fever,ASPIRIN,4,n/a,PTGS1,3
cataract,KETOROLAC,3,Completed,PTGS1,3
ankylosing spondylitis,NAPROXEN,4,n/a,PTGS1,3
periodontitis,FLURBIPROFEN,2,Completed,PTGS1,2
preeclampsia,ASPIRIN,3,Unknown status,PTGS1,2
pain,KETOROLAC,4,"Active, not recruiting",PTGS1,2
pain,KETOROLAC,4,Recruiting,PTGS1,2
cardiovascular disease,ASPIRIN,3,Completed,PTGS1,2
pancreatitis,INDOMETHACIN,4,Unknown status,PTGS1,2
cataract,NEPAFENAC,2,Completed,PTGS1,2
breast carcinoma,ASPIRIN,2,Not yet recruiting,PTGS1,2
chronic pain,ACETAMINOPHEN,4,Completed,PTGS1,2
pancreatitis,INDOMETHACIN,4,Recruiting,PTGS1,2
preeclampsia,ASPIRIN,3,Completed,PTGS1,2
pain,KETOPROFEN,4,Completed,PTGS1,2
chronic pain,ACETAMINOPHEN,3,Completed,PTGS1,2
pain,KETOROLAC,3,Not yet recruiting,PTGS1,2
breast carcinoma,ACETAMINOPHEN,2,Recruiting,PTGS1,2
back pain,NAPROXEN,3,Unknown status,PTGS1,2
peripheral arterial disease,ASPIRIN,3,Recruiting,PTGS1,2
cataract,BROMFENAC,2,Completed,PTGS1,2
pain,INDOMETHACIN,2,Completed,PTGS1,2
cataract,BROMFENAC,3,Completed,PTGS1,2
brain aneurysm,ASPIRIN,3,Recruiting,PTGS1,2
pain,INDOMETHACIN,3,Completed,PTGS1,2
brain infarction,ASPIRIN,1,Not yet recruiting,PTGS1,2
back pain,KETOROLAC,3,Unknown status,PTGS1,2
