disease,drug,phase,status,target,num_ev_strings
breast carcinoma,DOXORUBICIN,2,Completed,TOP2A,73
lymphoma,ETOPOSIDE,2,Completed,TOP2A,65
lymphoma,DOXORUBICIN,2,Completed,TOP2A,54
breast carcinoma,DOXORUBICIN,3,Completed,TOP2A,33
lymphoma,DOXORUBICIN,3,Completed,TOP2A,31
leukemia,ETOPOSIDE,2,Completed,TOP2A,29
multiple myeloma,DOXORUBICIN,2,Completed,TOP2A,20
lymphoma,ETOPOSIDE,3,Completed,TOP2A,20
leukemia,DAUNORUBICIN,2,Completed,TOP2A,19
breast carcinoma,DOXORUBICIN,2,Unknown status,TOP2A,19
breast carcinoma,DOXORUBICIN,2,Terminated,TOP2A,17
breast carcinoma,DOXORUBICIN,2,"Active, not recruiting",TOP2A,16
leukemia,DAUNORUBICIN,3,Completed,TOP2A,16
breast carcinoma,DOXORUBICIN,2,Recruiting,TOP2A,16
breast carcinoma,DOXORUBICIN,1,Completed,TOP2A,16
neoplasm,DOXORUBICIN,1,Completed,TOP2A,15
leukemia,ETOPOSIDE,1,Completed,TOP2A,14
sarcoma,DOXORUBICIN,2,Completed,TOP2A,14
lung carcinoma,ETOPOSIDE,2,Completed,TOP2A,14
breast carcinoma,DOXORUBICIN,3,"Active, not recruiting",TOP2A,14
lymphoma,DOXORUBICIN,1,Completed,TOP2A,14
sarcoma,DOXORUBICIN,1,Completed,TOP2A,14
neuroblastoma,ETOPOSIDE,2,Completed,TOP2A,14
lymphoma,ETOPOSIDE,2,Unknown status,TOP2A,13
lymphoma,ETOPOSIDE,1,Completed,TOP2A,13
diffuse large B-cell lymphoma,DOXORUBICIN,2,Completed,TOP2A,13
leukemia,ETOPOSIDE,3,Completed,TOP2A,13
lymphoma,DOXORUBICIN,2,Unknown status,TOP2A,13
lymphoma,DOXORUBICIN,2,"Active, not recruiting",TOP2A,13
ovarian carcinoma,DOXORUBICIN,2,Completed,TOP2A,12
leukemia,MITOXANTRONE,2,Completed,TOP2A,12
breast neoplasm,DOXORUBICIN,2,Completed,TOP2A,12
acute myeloid leukemia,DAUNORUBICIN,3,Completed,TOP2A,12
leukemia,DOXORUBICIN,3,Completed,TOP2A,12
acute myeloid leukemia,DAUNORUBICIN,1,Recruiting,TOP2A,11
acute myeloid leukemia,MITOXANTRONE,1,Completed,TOP2A,11
acute myeloid leukemia,IDARUBICIN,2,Completed,TOP2A,11
lymphoma,ETOPOSIDE,3,Unknown status,TOP2A,11
Hodgkins lymphoma,DOXORUBICIN,2,Recruiting,TOP2A,11
neuroblastoma,DOXORUBICIN,2,Completed,TOP2A,11
lung carcinoma,ETOPOSIDE,3,Completed,TOP2A,11
sarcoma,DOXORUBICIN,3,Completed,TOP2A,10
leukemia,IDARUBICIN,2,Completed,TOP2A,10
hepatocellular carcinoma,DOXORUBICIN,2,Completed,TOP2A,10
small cell lung carcinoma,ETOPOSIDE,2,Completed,TOP2A,10
small cell lung carcinoma,ETOPOSIDE,1,Completed,TOP2A,10
lymphoma,DOXORUBICIN,3,Unknown status,TOP2A,10
lymphoma,DOXORUBICIN,3,"Active, not recruiting",TOP2A,10
acute myeloid leukemia,ETOPOSIDE,1,Completed,TOP2A,10
multiple myeloma,DOXORUBICIN,3,Completed,TOP2A,10
lymphoma,DOXORUBICIN,2,Terminated,TOP2A,9
acute myeloid leukemia,IDARUBICIN,1,Recruiting,TOP2A,9
acute myeloid leukemia,IDARUBICIN,1,Completed,TOP2A,9
breast carcinoma,DOXORUBICIN,3,Unknown status,TOP2A,9
leukemia,DOXORUBICIN,2,Completed,TOP2A,9
