disease,drug,phase,status,target,num_ev_strings
breast carcinoma,PACLITAXEL,2,Completed,TUBB,110
breast carcinoma,DOCETAXEL,2,Completed,TUBB,102
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB,70
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB,69
neoplasm,PACLITAXEL,1,Completed,TUBB,60
prostate carcinoma,DOCETAXEL,2,Completed,TUBB,53
breast carcinoma,DOCETAXEL,3,Completed,TUBB,52
lymphoma,VINCRISTINE,2,Completed,TUBB,52
neoplasm,DOCETAXEL,1,Completed,TUBB,50
breast carcinoma,PACLITAXEL,1,Completed,TUBB,48
breast carcinoma,PACLITAXEL,3,Completed,TUBB,44
lung carcinoma,PACLITAXEL,2,Completed,TUBB,43
ovarian carcinoma,PACLITAXEL,2,Completed,TUBB,43
breast carcinoma,PACLITAXEL,2,Recruiting,TUBB,39
breast carcinoma,PACLITAXEL,2,"Active, not recruiting",TUBB,37
lung carcinoma,DOCETAXEL,2,Completed,TUBB,36
non-small cell lung carcinoma,DOCETAXEL,3,Completed,TUBB,36
lymphoma,VINCRISTINE,3,Completed,TUBB,31
non-small cell lung carcinoma,PACLITAXEL,1,Completed,TUBB,29
non-small cell lung carcinoma,DOCETAXEL,2,Terminated,TUBB,26
breast carcinoma,PACLITAXEL,3,"Active, not recruiting",TUBB,24
breast carcinoma,DOCETAXEL,3,"Active, not recruiting",TUBB,24
breast carcinoma,VINORELBINE,2,Completed,TUBB,23
ovarian carcinoma,PACLITAXEL,1,Completed,TUBB,23
breast carcinoma,PACLITAXEL,2,Terminated,TUBB,21
breast carcinoma,DOCETAXEL,2,Unknown status,TUBB,21
breast carcinoma,DOCETAXEL,1,Completed,TUBB,21
head and neck malignant neoplasia,PACLITAXEL,2,Completed,TUBB,21
prostate carcinoma,DOCETAXEL,1,Completed,TUBB,21
breast carcinoma,DOCETAXEL,2,Terminated,TUBB,21
non-small cell lung carcinoma,PACLITAXEL,3,Completed,TUBB,21
cancer,DOCETAXEL,1,Completed,TUBB,20
leukemia,VINCRISTINE,2,Completed,TUBB,20
cancer,PACLITAXEL,1,Completed,TUBB,20
non-small cell lung carcinoma,PACLITAXEL,2,Terminated,TUBB,19
esophageal carcinoma,PACLITAXEL,2,Completed,TUBB,19
non-small cell lung carcinoma,VINORELBINE,2,Completed,TUBB,19
non-small cell lung carcinoma,DOCETAXEL,2,Unknown status,TUBB,19
breast neoplasm,PACLITAXEL,2,Completed,TUBB,19
leukemia,VINCRISTINE,3,Completed,TUBB,18
breast carcinoma,PACLITAXEL,1,Recruiting,TUBB,18
lung carcinoma,PACLITAXEL,3,Completed,TUBB,18
breast carcinoma,PACLITAXEL,2,Unknown status,TUBB,18
non-small cell lung carcinoma,PACLITAXEL,3,"Active, not recruiting",TUBB,18
prostate carcinoma,DOCETAXEL,2,Terminated,TUBB,18
