disease,drug,phase,status,target,num_ev_strings
asthma,FORMOTEROL,3,Completed,ADRB2,74
asthma,BUDESONIDE,3,Completed,NR3C1,67
asthma,MONTELUKAST,4,n/a,CYSLTR1,63
asthma,FLUTICASONE PROPIONATE,3,Completed,NR3C1,60
asthma,FLUTICASONE PROPIONATE,4,Completed,NR3C1,56
asthma,PREDNISONE,4,n/a,NR3C1,40
asthma,ALBUTEROL,3,Completed,ADRB2,40
asthma,SALMETEROL,4,Completed,ADRB2,39
asthma,SALMETEROL,3,Completed,ADRB2,38
asthma,MONTELUKAST,4,Completed,CYSLTR1,34
asthma,MONTELUKAST,3,Completed,CYSLTR1,33
asthma,FORMOTEROL,2,Completed,ADRB2,33
asthma,FLUTICASONE PROPIONATE,2,Completed,NR3C1,32
asthma,ALBUTEROL,2,Completed,ADRB2,30
asthma,ALBUTEROL,4,n/a,ADRB2,29
asthma,BUDESONIDE,4,Completed,NR3C1,27
asthma,CICLESONIDE,3,Completed,NR3C1,24
asthma,BECLOMETHASONE DIPROPIONATE,3,Completed,NR3C1,23
asthma,OMALIZUMAB,4,Completed,IGHE,21
asthma,FLUTICASONE PROPIONATE,1,Completed,NR3C1,21
asthma,METHYLPREDNISOLONE,4,n/a,NR3C1,21
asthma,FLUTICASONE FUROATE,3,Completed,NR3C1,20
asthma,ALBUTEROL,4,Completed,ADRB2,20
asthma,FORMOTEROL,4,Completed,ADRB2,19
asthma,THEOPHYLLINE,4,n/a,PDE4B,19
asthma,THEOPHYLLINE,4,n/a,PDE4C,19
asthma,THEOPHYLLINE,4,n/a,PDE4D,19
asthma,THEOPHYLLINE,4,n/a,ADORA3,19
asthma,THEOPHYLLINE,4,n/a,ADORA2B,19
asthma,THEOPHYLLINE,4,n/a,ADORA2A,19
asthma,THEOPHYLLINE,4,n/a,PDE3B,19
asthma,THEOPHYLLINE,4,n/a,PDE4A,19
asthma,THEOPHYLLINE,4,n/a,ADORA1,19
asthma,THEOPHYLLINE,4,n/a,PDE3A,19
asthma,FLUTICASONE FUROATE,1,Completed,NR3C1,17
asthma,OMALIZUMAB,3,Completed,IGHE,17
asthma,MONTELUKAST,2,Completed,CYSLTR1,17
asthma,BUDESONIDE,2,Completed,NR3C1,16
asthma,EPINEPHRINE,4,n/a,ADRA1A,16
asthma,EPINEPHRINE,4,n/a,ADRA1D,16
asthma,EPINEPHRINE,4,n/a,ADRA2C,16
asthma,EPINEPHRINE,4,n/a,ADRA2A,16
asthma,EPINEPHRINE,4,n/a,ADRA2B,16
asthma,EPINEPHRINE,4,n/a,ADRA1B,16
asthma,EPINEPHRINE,4,n/a,ADRB1,16
asthma,EPINEPHRINE,4,n/a,ADRB2,16
asthma,EPINEPHRINE,4,n/a,ADRB3,16
asthma,PREDNISOLONE,4,n/a,NR3C1,16
asthma,BECLOMETHASONE DIPROPIONATE,2,Completed,NR3C1,15
asthma,BUDESONIDE,4,n/a,NR3C1,15
asthma,FLUTICASONE FUROATE,2,Completed,NR3C1,15
asthma,BUDESONIDE,1,Completed,NR3C1,14
asthma,TIOTROPIUM,3,Completed,CHRM3,14
asthma,SALMETEROL,2,Completed,ADRB2,13
asthma,SALMETEROL,1,Completed,ADRB2,13
asthma,INDACATEROL,2,Completed,ADRB2,13
asthma,BECLOMETHASONE DIPROPIONATE,4,Completed,NR3C1,12
asthma,TERBUTALINE,4,n/a,ADRB2,12
asthma,FORMOTEROL,1,Completed,ADRB2,12
asthma,FLUTICASONE PROPIONATE,4,n/a,NR3C1,12
