disease,drug,phase,status,target,num_ev_strings
breast carcinoma,PACLITAXEL,2,Completed,TUBB3,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB8,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB1,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB2A,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB2B,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB4A,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB4B,110
breast carcinoma,PACLITAXEL,2,Completed,TUBB6,110
breast carcinoma,TRASTUZUMAB,2,Completed,ERBB2,103
breast carcinoma,DOCETAXEL,2,Completed,TUBB4B,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB6,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB8,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB4A,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB3,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB2B,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB2A,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB1,102
breast carcinoma,DOCETAXEL,2,Completed,TUBB,102
breast carcinoma,DOXORUBICIN,2,Completed,TOP2A,73
breast carcinoma,BEVACIZUMAB,2,Completed,VEGFA,62
breast carcinoma,CAPECITABINE,2,Completed,TYMS,53
breast carcinoma,DOCETAXEL,3,Completed,TUBB1,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB2B,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB4A,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB6,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB4B,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB3,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB8,52
breast carcinoma,DOCETAXEL,3,Completed,TUBB2A,52
breast carcinoma,GEMCITABINE,2,Completed,PRIM2,50
breast carcinoma,GEMCITABINE,2,Completed,POLD2,50
breast carcinoma,GEMCITABINE,2,Completed,POLD1,50
breast carcinoma,GEMCITABINE,2,Completed,POLE,50
breast carcinoma,GEMCITABINE,2,Completed,POLD3,50
breast carcinoma,GEMCITABINE,2,Completed,POLD4,50
breast carcinoma,GEMCITABINE,2,Completed,PRIM1,50
breast carcinoma,GEMCITABINE,2,Completed,POLA2,50
breast carcinoma,GEMCITABINE,2,Completed,POLE2,50
breast carcinoma,GEMCITABINE,2,Completed,POLE3,50
breast carcinoma,GEMCITABINE,2,Completed,RRM1,50
breast carcinoma,GEMCITABINE,2,Completed,POLA1,50
breast carcinoma,PACLITAXEL,1,Completed,TUBB8,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB6,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB4B,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB4A,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB3,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB2B,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB2A,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB1,48
breast carcinoma,PACLITAXEL,1,Completed,TUBB,48
breast carcinoma,PALBOCICLIB,2,Recruiting,CCND1,48
breast carcinoma,PACLITAXEL,3,Completed,TUBB8,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB6,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB2B,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB4A,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB3,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB4B,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB1,44
breast carcinoma,PACLITAXEL,3,Completed,TUBB2A,44
breast carcinoma,TAMOXIFEN,3,Completed,ESR1,41
breast carcinoma,PACLITAXEL,2,Recruiting,TUBB1,39
breast carcinoma,PACLITAXEL,2,Recruiting,TUBB2A,39
breast carcinoma,PACLITAXEL,2,Recruiting,TUBB4B,39
breast carcinoma,FLUOROURACIL,3,Completed,TYMS,39
breast carcinoma,PACLITAXEL,2,Recruiting,TUBB8,39
