disease,drug,phase,status,target,num_ev_strings
chronic obstructive pulmonary disease,TIOTROPIUM,3,Completed,CHRM3,94
chronic obstructive pulmonary disease,TIOTROPIUM,4,Completed,CHRM3,51
chronic obstructive pulmonary disease,FORMOTEROL,3,Completed,ADRB2,51
chronic obstructive pulmonary disease,TIOTROPIUM,2,Completed,CHRM3,35
chronic obstructive pulmonary disease,SALMETEROL,3,Completed,ADRB2,35
chronic obstructive pulmonary disease,INDACATEROL,3,Completed,ADRB2,33
chronic obstructive pulmonary disease,VILANTEROL,3,Completed,ADRB2,32
chronic obstructive pulmonary disease,SALMETEROL,4,Completed,ADRB2,32
chronic obstructive pulmonary disease,IPRATROPIUM,4,n/a,CHRM3,30
chronic obstructive pulmonary disease,FLUTICASONE PROPIONATE,4,Completed,NR3C1,28
chronic obstructive pulmonary disease,FORMOTEROL,2,Completed,ADRB2,27
chronic obstructive pulmonary disease,UMECLIDINIUM,3,Completed,CHRM3,26
chronic obstructive pulmonary disease,OLODATEROL,3,Completed,ADRB2,25
chronic obstructive pulmonary disease,FORMOTEROL,4,Completed,ADRB2,23
chronic obstructive pulmonary disease,FLUTICASONE FUROATE,3,Completed,NR3C1,23
chronic obstructive pulmonary disease,FLUTICASONE PROPIONATE,3,Completed,NR3C1,22
chronic obstructive pulmonary disease,ACLIDINIUM,3,Completed,CHRM3,18
chronic obstructive pulmonary disease,SALMETEROL,2,Completed,ADRB2,17
chronic obstructive pulmonary disease,BUDESONIDE,4,Completed,NR3C1,17
chronic obstructive pulmonary disease,IPRATROPIUM,3,Completed,CHRM3,17
chronic obstructive pulmonary disease,ALBUTEROL,3,Completed,ADRB2,15
chronic obstructive pulmonary disease,ROFLUMILAST,3,Completed,PDE4A,15
chronic obstructive pulmonary disease,ROFLUMILAST,3,Completed,PDE4B,15
chronic obstructive pulmonary disease,ROFLUMILAST,3,Completed,PDE4D,15
chronic obstructive pulmonary disease,ROFLUMILAST,3,Completed,PDE4C,15
chronic obstructive pulmonary disease,VILANTEROL,1,Completed,ADRB2,14
chronic obstructive pulmonary disease,INDACATEROL,4,Completed,ADRB2,14
chronic obstructive pulmonary disease,BUDESONIDE,3,Completed,NR3C1,14
chronic obstructive pulmonary disease,ALBUTEROL,4,Completed,ADRB2,13
chronic obstructive pulmonary disease,ALBUTEROL,4,n/a,ADRB2,13
chronic obstructive pulmonary disease,GLYCOPYRRONIUM,3,Completed,CHRM1,12
