disease,drug,phase,status,target,num_ev_strings
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA4,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA11,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA10,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA1,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND6,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND5,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND4L,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND4,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF2,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND2,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF4,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB10,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB11,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB4,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB5,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB6,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB7,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAB1,209
type II diabetes mellitus,METFORMIN,4,n/a,GPD2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA12,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFV3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFV1,209
