disease,drug,phase,status,target,num_ev_strings
ulcerative colitis,PREDNISONE,4,n/a,NR3C1,44
Crohn's disease,PREDNISONE,4,n/a,NR3C1,44
ulcerative colitis,MESALAMINE,4,n/a,ALOX5,32
ulcerative colitis,MESALAMINE,3,Completed,PTGS2,32
ulcerative colitis,MESALAMINE,3,Completed,PTGS1,32
ulcerative colitis,MESALAMINE,3,Completed,PPARG,32
ulcerative colitis,MESALAMINE,4,n/a,PPARG,32
ulcerative colitis,MESALAMINE,4,n/a,PTGS2,32
ulcerative colitis,MESALAMINE,4,n/a,PTGS1,32
ulcerative colitis,MESALAMINE,3,Completed,ALOX5,32
ulcerative colitis,METHYLPREDNISOLONE,4,n/a,NR3C1,21
Crohn's disease,METHYLPREDNISOLONE,4,n/a,NR3C1,21
Crohn's disease,PREDNISOLONE,4,n/a,NR3C1,16
Crohn's disease,ADALIMUMAB,3,Completed,TNF,16
ulcerative colitis,PREDNISOLONE,4,n/a,NR3C1,16
ulcerative colitis,HYDROCORTISONE,4,n/a,NR3C1,14
Crohn's disease,INFLIXIMAB,3,Completed,TNF,11
Crohn's disease,CERTOLIZUMAB PEGOL,3,Completed,TNF,10
ulcerative colitis,BUDESONIDE,3,Completed,NR3C1,6
ulcerative colitis,MESALAMINE,4,Completed,PTGS1,6
ulcerative colitis,MESALAMINE,4,Completed,PTGS2,6
ulcerative colitis,MESALAMINE,4,Completed,ALOX5,6
ulcerative colitis,ADALIMUMAB,3,Completed,TNF,6
ulcerative colitis,MESALAMINE,4,Completed,PPARG,6
ulcerative colitis,VEDOLIZUMAB,4,Recruiting,ITGA4,5
ulcerative colitis,VEDOLIZUMAB,3,Completed,ITGB7,5
ulcerative colitis,VEDOLIZUMAB,3,Completed,ITGA4,5
Crohn's disease,VEDOLIZUMAB,4,Recruiting,ITGA4,5
Crohn's disease,VEDOLIZUMAB,4,Recruiting,ITGB7,5
ulcerative colitis,INFLIXIMAB,3,Completed,TNF,5
Crohn's disease,INFLIXIMAB,4,Completed,TNF,5
Crohn's disease,AZATHIOPRINE,3,Completed,PPAT,5
ulcerative colitis,VEDOLIZUMAB,4,Recruiting,ITGB7,5
ulcerative colitis,MESALAMINE,3,Recruiting,ALOX5,4
ulcerative colitis,MESALAMINE,3,Recruiting,PTGS1,4
Crohn's disease,ADALIMUMAB,2,Completed,TNF,4
Crohn's disease,USTEKINUMAB,3,Recruiting,IL12B,4
Crohn's disease,CERTOLIZUMAB PEGOL,2,Completed,TNF,4
ulcerative colitis,MESALAMINE,3,Recruiting,PTGS2,4
Crohn's disease,MESALAMINE,3,Completed,PPARG,4
Crohn's disease,MESALAMINE,3,Completed,ALOX5,4
Crohn's disease,TOFACITINIB,2,Completed,JAK2,4
Crohn's disease,BUDESONIDE,3,Completed,NR3C1,4
Crohn's disease,MESALAMINE,3,Completed,PTGS1,4
ulcerative colitis,MESALAMINE,3,Recruiting,PPARG,4
Crohn's disease,TOFACITINIB,2,Completed,JAK3,4
Crohn's disease,TOFACITINIB,2,Completed,TYK2,4
Crohn's disease,VEDOLIZUMAB,3,Completed,ITGB7,4
Crohn's disease,VEDOLIZUMAB,3,Completed,ITGA4,4
Crohn's disease,MESALAMINE,3,Completed,PTGS2,4
Crohn's disease,VEDOLIZUMAB,2,Recruiting,ITGB7,4
Crohn's disease,VERCIRNON,1,Completed,CCR9,4
ulcerative colitis,ETROLIZUMAB,3,Recruiting,ITGB7,4
Crohn's disease,ADALIMUMAB,4,Recruiting,TNF,4
ulcerative colitis,INFLIXIMAB,4,Recruiting,TNF,4
Crohn's disease,VEDOLIZUMAB,2,Recruiting,ITGA4,4
Crohn's disease,TOFACITINIB,2,Completed,JAK1,4
ulcerative colitis,INTERFERON BETA-1A,2,Completed,IFNAR2,3
Crohn's disease,NATALIZUMAB,3,Completed,ITGA4,3
ulcerative colitis,INFLIXIMAB,4,Completed,TNF,3
Crohn's disease,METHOTREXATE,4,Recruiting,DHFR,3
ulcerative colitis,MESALAMINE,1,Completed,PTGS1,3
ulcerative colitis,MESALAMINE,1,Completed,PPARG,3
Crohn's disease,SEMAPIMOD,2,Completed,MAPK14,3
ulcerative colitis,MESALAMINE,1,Completed,ALOX5,3
ulcerative colitis,INTERFERON BETA-1A,2,Completed,IFNAR1,3
ulcerative proctosigmoiditis,BUDESONIDE,3,Completed,NR3C1,3
ulcerative colitis,TOFACITINIB,3,Completed,JAK1,3
ulcerative colitis,VEDOLIZUMAB,2,Recruiting,ITGA4,3
proctitis,BUDESONIDE,3,Completed,NR3C1,3
ulcerative colitis,VISILIZUMAB,2,Terminated,CD3E,3
Crohn's disease,ADALIMUMAB,4,Completed,TNF,3
ulcerative colitis,ADALIMUMAB,3,Recruiting,TNF,3
Crohn's disease,VERCIRNON,3,Terminated,CCR9,3
ulcerative colitis,VEDOLIZUMAB,3,Recruiting,ITGB7,3
ulcerative colitis,VEDOLIZUMAB,3,Recruiting,ITGA4,3
ulcerative colitis,TOFACITINIB,3,Completed,JAK2,3
ulcerative colitis,VEDOLIZUMAB,2,Recruiting,ITGB7,3
Crohn's disease,INFLIXIMAB,4,Terminated,TNF,3
Crohn's disease,AZATHIOPRINE,3,Unknown status,PPAT,3
ulcerative colitis,MESALAMINE,1,Completed,PTGS2,3
Crohn's disease,AZATHIOPRINE,4,Recruiting,PPAT,3
ulcerative colitis,TOFACITINIB,3,Completed,JAK3,3
ulcerative colitis,TOFACITINIB,3,Completed,TYK2,3
Crohn's disease,BUDESONIDE,4,n/a,NR3C1,3
Crohn's disease,BRIAKINUMAB,2,Terminated,IL12B,3
Crohn's disease,BRIAKINUMAB,1,Completed,IL12B,3
ulcerative colitis,MESALAMINE,3,Terminated,PTGS2,2
ulcerative colitis,MESALAMINE,3,Terminated,ALOX5,2
ulcerative colitis,MESALAMINE,2,Completed,ALOX5,2
Crohn's disease,MESALAMINE,3,Terminated,ALOX5,2
ulcerative colitis,MESALAMINE,2,Completed,PPARG,2
ulcerative colitis,MESALAMINE,2,Completed,PTGS1,2
ulcerative colitis,MESALAMINE,3,Terminated,PPARG,2
ulcerative colitis,MESALAMINE,2,Completed,PTGS2,2
Crohn's disease,MESALAMINE,3,Terminated,PPARG,2
Crohn's disease,MESALAMINE,3,Terminated,PTGS1,2
Crohn's disease,MESALAMINE,3,Terminated,PTGS2,2
ulcerative colitis,MESALAMINE,2,Recruiting,ALOX5,2
ulcerative colitis,MESALAMINE,2,Recruiting,PPARG,2
ulcerative colitis,MESALAMINE,2,Recruiting,PTGS2,2
ulcerative colitis,MESALAMINE,3,Terminated,PTGS1,2
ulcerative colitis,MESALAMINE,2,Unknown status,PPARG,2
ulcerative colitis,MESALAMINE,2,Unknown status,PTGS1,2
Crohn's disease,METHOTREXATE,4,Completed,DHFR,2
ulcerative colitis,MESALAMINE,2,Unknown status,PTGS2,2
ulcerative colitis,MESALAMINE,2,Unknown status,ALOX5,2
ulcerative colitis,ELDELUMAB,2,Completed,CXCL10,2
Crohn's disease,NATALIZUMAB,2,Completed,ITGA4,2
Crohn's disease,NATALIZUMAB,4,n/a,ITGA4,2
Crohn's disease,USTEKINUMAB,3,Completed,IL12B,2
ulcerative colitis,BALSALAZIDE,3,Completed,ALOX5,2
ulcerative colitis,AZATHIOPRINE,4,Recruiting,PPAT,2
ulcerative colitis,AZATHIOPRINE,3,Terminated,PPAT,2
Crohn's disease,VEDOLIZUMAB,2,Completed,ITGA4,2
Crohn's disease,VEDOLIZUMAB,2,Completed,ITGB7,2
Crohn's disease,VEDOLIZUMAB,3,"Active, not recruiting",ITGA4,2
Crohn's disease,VEDOLIZUMAB,3,"Active, not recruiting",ITGB7,2
