disease,drug,phase,status,target,num_ev_strings
nephrotic syndrome,PREDNISONE,4,n/a,NR3C1,108
nephrotic syndrome,HYDROCHLOROTHIAZIDE,4,n/a,SLC12A3,100
chronic kidney disease,HYDROCHLOROTHIAZIDE,4,n/a,SLC12A3,98
nephrotic syndrome,FUROSEMIDE,4,n/a,SLC12A1,48
kidney disease,LOSARTAN,4,n/a,AGTR1,48
renal cell carcinoma,SUNITINIB,2,Completed,PDGFRB,23
renal cell carcinoma,SUNITINIB,2,Completed,PDGFRA,23
renal cell carcinoma,SUNITINIB,2,Completed,CSF1R,23
renal cell carcinoma,SUNITINIB,2,Completed,FLT1,23
renal cell carcinoma,SUNITINIB,2,Completed,FLT3,23
renal cell carcinoma,SUNITINIB,2,Completed,FLT4,23
nephrotic syndrome,BUMETANIDE,4,n/a,SLC12A1,23
renal cell carcinoma,SUNITINIB,2,Completed,KDR,23
renal cell carcinoma,SUNITINIB,2,Completed,KIT,23
kidney disease,BUMETANIDE,4,n/a,SLC12A1,23
renal cell carcinoma,SUNITINIB,2,Completed,RET,23
nephrotic syndrome,PREDNISOLONE,4,n/a,NR3C1,16
renal cell carcinoma,SORAFENIB,2,Completed,BRAF,13
renal cell carcinoma,SORAFENIB,2,Completed,RAF1,13
renal cell carcinoma,SORAFENIB,2,Completed,PDGFRB,13
diabetic nephropathy,CAPTOPRIL,4,n/a,ACE,13
renal cell carcinoma,SORAFENIB,2,Completed,KIT,13
renal cell carcinoma,SORAFENIB,2,Completed,RET,13
renal cell carcinoma,SORAFENIB,3,Completed,BRAF,13
renal cell carcinoma,SORAFENIB,3,Completed,FLT1,13
renal cell carcinoma,SORAFENIB,3,Completed,FLT3,13
renal cell carcinoma,SORAFENIB,3,Completed,FLT4,13
renal cell carcinoma,BEVACIZUMAB,2,Completed,VEGFA,13
renal cell carcinoma,SORAFENIB,3,Completed,KDR,13
renal cell carcinoma,SORAFENIB,3,Completed,KIT,13
renal cell carcinoma,SORAFENIB,3,Completed,PDGFRB,13
renal cell carcinoma,SORAFENIB,2,Completed,KDR,13
renal cell carcinoma,SORAFENIB,3,Completed,RET,13
renal cell carcinoma,SORAFENIB,2,Completed,FLT4,13
renal cell carcinoma,SORAFENIB,2,Completed,FLT3,13
renal cell carcinoma,SORAFENIB,2,Completed,FLT1,13
renal cell carcinoma,SORAFENIB,3,Completed,RAF1,13
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLE2,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,RRM1,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,PRIM2,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,PRIM1,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLE3,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLE,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLD4,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLD2,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLD1,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLA2,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLA1,12
transitional cell carcinoma of kidney,GEMCITABINE,2,Completed,POLD3,12
chronic kidney disease,CHLORTHALIDONE,4,n/a,SLC12A3,11
renal cell carcinoma,EVEROLIMUS,2,Completed,FKBP1A,10
renal cell carcinoma,PAZOPANIB,1,Completed,LCK,9
renal cell carcinoma,PAZOPANIB,1,Completed,KIT,9
diabetic nephropathy,IRBESARTAN,4,n/a,AGTR1,9
renal cell carcinoma,NIVOLUMAB,2,Recruiting,PDCD1,9
chronic kidney disease,TACROLIMUS,4,Completed,FKBP1A,9
renal carcinoma,ALDESLEUKIN,2,Unknown status,IL2RA,9
renal cell carcinoma,SUNITINIB,1,Completed,CSF1R,9
renal cell carcinoma,PAZOPANIB,1,Completed,CSF1R,9
renal cell carcinoma,PAZOPANIB,1,Completed,FGFR1,9
renal cell carcinoma,PAZOPANIB,1,Completed,FGFR3,9
renal cell carcinoma,PAZOPANIB,1,Completed,FLT1,9
renal cell carcinoma,PAZOPANIB,1,Completed,FLT4,9
renal cell carcinoma,PAZOPANIB,1,Completed,ITK,9
renal cell carcinoma,PAZOPANIB,1,Completed,KDR,9
renal carcinoma,ALDESLEUKIN,2,Unknown status,IL2RB,9
chronic kidney disease,PARICALCITOL,4,n/a,VDR,9
renal cell carcinoma,SUNITINIB,1,Completed,FLT1,9
renal cell carcinoma,SUNITINIB,1,Completed,FLT3,9
renal cell carcinoma,SUNITINIB,1,Completed,FLT4,9
renal cell carcinoma,SUNITINIB,1,Completed,KIT,9
renal cell carcinoma,SUNITINIB,1,Completed,KDR,9
renal cell carcinoma,SUNITINIB,1,Completed,PDGFRA,9
renal cell carcinoma,SUNITINIB,1,Completed,PDGFRB,9
renal cell carcinoma,SUNITINIB,1,Completed,RET,9
renal cell carcinoma,PAZOPANIB,1,Completed,PDGFRB,9
renal cell carcinoma,PAZOPANIB,1,Completed,PDGFRA,9
renal cell carcinoma,SORAFENIB,2,Terminated,RAF1,8
renal cell carcinoma,SORAFENIB,2,Terminated,FLT3,8
renal cell carcinoma,SORAFENIB,2,Terminated,FLT4,8
renal cell carcinoma,SORAFENIB,2,Terminated,KDR,8
renal cell carcinoma,SORAFENIB,2,Terminated,KIT,8
renal cell carcinoma,SORAFENIB,2,Terminated,PDGFRB,8
chronic kidney disease,EPOETIN ALFA,3,Completed,EPOR,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",RET,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",PDGFRB,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",PDGFRA,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",KIT,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",KDR,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",FLT4,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",FLT3,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",FLT1,8
renal cell carcinoma,SORAFENIB,2,Terminated,RET,8
renal cell carcinoma,SUNITINIB,2,"Active, not recruiting",CSF1R,8
renal cell carcinoma,SORAFENIB,2,Terminated,FLT1,8
chronic kidney disease,DARBEPOETIN ALFA,3,Completed,EPOR,8
renal cell carcinoma,SORAFENIB,2,Terminated,BRAF,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",PDGFRB,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",KIT,8
chronic kidney disease,CALCITRIOL,4,n/a,VDR,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",CSF1R,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",FLT1,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",FLT3,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",FLT4,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",PDGFRA,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",KDR,8
renal cell carcinoma,SUNITINIB,3,"Active, not recruiting",RET,8
renal cell carcinoma,SUNITINIB,2,Terminated,FLT4,7
renal cell carcinoma,SUNITINIB,2,Terminated,CSF1R,7
renal cell carcinoma,SUNITINIB,2,Terminated,FLT3,7
chronic kidney disease,PARICALCITOL,3,Completed,VDR,7
renal cell carcinoma,SUNITINIB,2,Terminated,KDR,7
renal cell carcinoma,SUNITINIB,2,Terminated,KIT,7
renal cell carcinoma,SUNITINIB,2,Terminated,PDGFRA,7
renal cell carcinoma,SUNITINIB,2,Terminated,RET,7
renal cell carcinoma,SUNITINIB,2,Terminated,PDGFRB,7
renal cell carcinoma,SUNITINIB,2,Terminated,FLT1,7
renal cell carcinoma,EVEROLIMUS,1,Completed,FKBP1A,7
lupus nephritis,MYCOPHENOLATE MOFETIL,3,Completed,IMPDH1,6
renal cell carcinoma,GEMCITABINE,2,Completed,PRIM2,6
renal cell carcinoma,PAZOPANIB,2,Completed,FGFR1,6
renal cell carcinoma,PAZOPANIB,2,Completed,FGFR3,6
