disease,drug,phase,status,target,num_ev_strings
multiple sclerosis,PREDNISONE,4,n/a,NR3C1,57
multiple sclerosis,METHYLPREDNISOLONE,4,n/a,NR3C1,26
multiple sclerosis,INTERFERON BETA-1A,3,Completed,IFNAR1,13
multiple sclerosis,INTERFERON BETA-1A,3,Completed,IFNAR2,13
multiple sclerosis,INTERFERON BETA-1A,4,Completed,IFNAR1,12
multiple sclerosis,INTERFERON BETA-1A,4,Completed,IFNAR2,12
multiple sclerosis,METHYLPREDNISOLONE HEMISUCCINATE,4,n/a,NR3C1,10
relapsing-remitting multiple sclerosis,INTERFERON BETA-1A,4,Completed,IFNAR2,10
relapsing-remitting multiple sclerosis,INTERFERON BETA-1A,4,Completed,IFNAR1,10
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNQ1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH4,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH5,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH6,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH7,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH8,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNQ5,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNQ2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNQ3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNQ4,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNS1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNS2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNS3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNV1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNH2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNV2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNG4,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNG3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA4,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA5,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA6,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA7,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNB1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNB2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNC1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNC2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNC3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNC4,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCND1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCND2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCND3,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNF1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNG1,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNG2,8
multiple sclerosis,DALFAMPRIDINE,3,Completed,KCNA10,8
relapsing-remitting multiple sclerosis,FINGOLIMOD,4,Completed,S1PR5,8
relapsing-remitting multiple sclerosis,FINGOLIMOD,4,Completed,S1PR4,8
relapsing-remitting multiple sclerosis,FINGOLIMOD,4,Completed,S1PR3,8
relapsing-remitting multiple sclerosis,FINGOLIMOD,4,Completed,S1PR2,8
relapsing-remitting multiple sclerosis,FINGOLIMOD,4,Completed,S1PR1,8
relapsing-remitting multiple sclerosis,INTERFERON BETA-1A,3,Completed,IFNAR2,7
multiple sclerosis,INTERFERON BETA-1A,2,Completed,IFNAR1,7
multiple sclerosis,INTERFERON BETA-1A,2,Completed,IFNAR2,7
relapsing-remitting multiple sclerosis,INTERFERON BETA-1A,3,Completed,IFNAR1,7
multiple sclerosis,FINGOLIMOD,3,Completed,S1PR1,7
multiple sclerosis,FINGOLIMOD,3,Completed,S1PR5,7
multiple sclerosis,FINGOLIMOD,3,Completed,S1PR4,7
multiple sclerosis,FINGOLIMOD,3,Completed,S1PR2,7
multiple sclerosis,FINGOLIMOD,3,Completed,S1PR3,7
multiple sclerosis,TERIFLUNOMIDE,3,Completed,DHODH,6
multiple sclerosis,TERIFLUNOMIDE,2,Completed,DHODH,6
multiple sclerosis,TERIFLUNOMIDE,3,"Active, not recruiting",DHODH,6
multiple sclerosis,FINGOLIMOD,4,Completed,S1PR1,6
multiple sclerosis,FINGOLIMOD,4,Completed,S1PR2,6
multiple sclerosis,FINGOLIMOD,4,Completed,S1PR3,6
multiple sclerosis,FINGOLIMOD,4,Completed,S1PR4,6
multiple sclerosis,FINGOLIMOD,4,Completed,S1PR5,6
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA3,5
relapsing-remitting multiple sclerosis,METHYLPREDNISOLONE,4,Completed,NR3C1,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA4,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA5,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA2,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA10,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA1,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA7,5
multiple sclerosis,INTERFERON BETA-1A,4,n/a,IFNAR2,5
multiple sclerosis,INTERFERON BETA-1A,4,n/a,IFNAR1,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNA6,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNH4,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNB1,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNH1,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNB2,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNH5,5
multiple sclerosis,DALFAMPRIDINE,4,Completed,KCNH6,5
