disease,drug,phase,status,target,num_ev_strings
non-small cell lung carcinoma,ERLOTINIB,2,Completed,EGFR,75
non-small cell lung carcinoma,GEMCITABINE,2,Completed,RRM1,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLE3,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLE2,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLE,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLD4,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLD3,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,PRIM2,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLD1,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLA2,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLA1,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,POLD2,73
non-small cell lung carcinoma,GEMCITABINE,2,Completed,PRIM1,73
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB6,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB1,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB2A,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB8,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB2B,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB3,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB4A,70
non-small cell lung carcinoma,PACLITAXEL,2,Completed,TUBB4B,70
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB1,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB2B,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB4A,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB4B,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB6,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB8,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB3,69
non-small cell lung carcinoma,DOCETAXEL,2,Completed,TUBB2A,69
non-small cell lung carcinoma,PEMETREXED,2,Completed,GART,66
non-small cell lung carcinoma,PEMETREXED,2,Completed,DHFR,66
non-small cell lung carcinoma,PEMETREXED,2,Completed,TYMS,66
non-small cell lung carcinoma,BEVACIZUMAB,2,Completed,VEGFA,44
