disease,drug,phase,status,target,num_ev_strings
pain,ACETAMINOPHEN,4,n/a,TRPV1,471
pain,ACETAMINOPHEN,4,n/a,PTGS2,471
pain,ACETAMINOPHEN,4,n/a,PTGS1,471
pain,ACETAMINOPHEN,4,n/a,FAAH,471
pain,HYDROCODONE,4,n/a,OPRM1,299
pain,HYDROCODONE,4,n/a,OPRK1,299
pain,HYDROCODONE,4,n/a,OPRD1,299
pain,IBUPROFEN,4,n/a,PTGS2,199
pain,IBUPROFEN,4,n/a,PTGS1,199
pain,OXYCODONE,4,n/a,OPRM1,195
pain,TRAMADOL,4,n/a,OPRM1,167
pain,CODEINE,4,n/a,OPRD1,101
pain,CODEINE,4,n/a,OPRM1,101
pain,CODEINE,4,n/a,OPRK1,101
pain,MORPHINE,4,n/a,OPRM1,89
pain,BUPIVACAINE,4,Completed,SCN4A,61
pain,ACETAMINOPHEN,4,Completed,PTGS2,59
pain,ACETAMINOPHEN,4,Completed,TRPV1,59
pain,ACETAMINOPHEN,4,Completed,FAAH,59
pain,ACETAMINOPHEN,4,Completed,PTGS1,59
pain,KETOROLAC,4,n/a,PTGS1,54
pain,KETOROLAC,4,n/a,PTGS2,54
pain,MORPHINE,4,Completed,OPRM1,49
pain,ROPIVACAINE,4,Completed,SCN1A,48
pain,ROPIVACAINE,4,Completed,SCN7A,48
pain,ROPIVACAINE,4,Completed,SCN5A,48
pain,ROPIVACAINE,4,Completed,SCN4A,48
pain,ROPIVACAINE,4,Completed,SCN3A,48
pain,ROPIVACAINE,4,Completed,SCN2A,48
pain,ROPIVACAINE,4,Completed,SCN11A,48
pain,ROPIVACAINE,4,Completed,SCN10A,48
pain,ROPIVACAINE,4,Completed,SCN8A,48
pain,ROPIVACAINE,4,Completed,SCN9A,48
pain,FENTANYL,4,n/a,OPRM1,47
neuropathic pain,PREGABALIN,4,n/a,CACNA2D1,47
pain,CELECOXIB,4,n/a,PTGS2,43
pain,LIDOCAINE,4,Completed,SCN9A,40
pain,LIDOCAINE,4,Completed,SCN5A,40
