disease,drug,phase,status,target,num_ev_strings
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB5,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA6,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFC2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAF1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFAB1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA9,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA8,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA7,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA5,209
type II diabetes mellitus,METFORMIN,4,n/a,MT-ND6,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA4L2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA4,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA13,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA12,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA11,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFA10,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB10,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB11,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS4,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS5,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS6,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS7,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFS8,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFV1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFV2,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFV3,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFC1,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB9,209
type II diabetes mellitus,METFORMIN,4,n/a,NDUFB8,209
