Ref	Target	Main organ/system affected	Unspecified mechanism effects_General	Agonism/Activation effects_Acute dosing	Agonism/Activation effects_Chronic dosing	Agonism/Activation effects_Developmental toxicity	Agonism/Activation effects_General	Antagonism/Inhibition effects_Acute dosing	Antagonism/Inhibition effects_Chronic dosing	Antagonism/Inhibition effects_Developmental toxicity	Antagonism/Inhibition effects_General		
Lynch et al. (2017)	ABCC8	cardiovascular; pancreas; renal		decreased blood pressure; increased heart rate; abnormal pulse; cardiac arrhythmia; cardiac lesions; decreased blood insulin; increased/decreased blood glucose; decreased convulsions				decreased heart rate; atrioventricular block; increased blood insulin; decreased blood glucose; increased urine excretion; increased urinary sodium excretion					122
Lynch et al. (2017)	ABCC9	cardiovascular; pancreas; renal		decreased blood pressure; increased heart rate; abnormal pulse; cardiac arrhythmia; cardiac lesions; decreased blood insulin; increased/decreased blood glucose; decreased convulsions				decreased heart rate; atrioventricular block; increased blood insulin; decreased blood glucose; increased urine excretion; increased urinary sodium excretion					
Lynch et al. (2017)	ACE	cardiovascular; renal						decreased blood pressure; increased urine excretion; increased urinary sodium excretion; proximal tubular degeneration; juxtaglomerular cell hyperplasia; interstitial cell infiltration; gastrointestinal hemorrhagic erosion/ulcer; decreased bone marrow erythropoiesis; hepatocytic vacuolar degeneration		increased risk spontaneous abortion			
Bowes et al. (2012)	ACHE	cardiovascular system; gastrointestinal; pulmonary						decreased gastrointestinal motility 			decreased blood pressure; decreased heart rate; increased gastrointestinal motility; bronchoconstriction; increased respiratory secretions		
Lynch et al. (2017)	ACHE	nervous system; respiratory; gastrointestinal; cardiovascular						apnea; bronchoconstriction; increased bronchial secretions; muscle relaxation; ataxia; increased salivation; lacrimation; decreased pupil diameter; blurred vision; increased urine excretion; increased defecation; diarrhea; vomiting; increased then decreased blood pressure; increased then decreased heart rate; convulsions; coma; death	cognitive deficit; mood change; autonomic dysfunction; peripheral neuropathy; tingling/weakness in limbs; foot drop				
Lynch et al. (2017)	ADORA1	nervous system; renal; cardiovascular		decreased pain; decreased heart rate; decreased blood pressure; atrioventricular block; cardiac arrhythmia; heart failure; death				convulsions; increased urine excretion; increased urinary sodium excretion					
Urban et al. (2012); HeCaToS	ADORA1	cardiovascular system; nervous system; renal					cardioprotection; bradycardia; vasoconstriction; bronchoconstriction; induction of sleep				vasodilation; diuresis; natriuresis		
Bowes et al. (2012)	ADORA2A	cardiovascular system; central nervous system					coronary vasodilation; decreased blood pressure; decreased reflex; increased heart rate; decreased platelet aggregation ; decreased leukocyte activation; decreased locomotor activity; sleep induction				potential for stimulation of platelet aggregation; increased blood pressure; nervousness (tremors, agitation); arousal; insomnia		
Lynch et al. (2017)	ADORA2A	cardiovascular; blood; central nervous system		decreased blood pressure; increased heart rate; decreased platelet aggregation				increased blood pressure; increased heart rate; increased platelet aggregation; increased aggression					
Urban et al. (2012); HeCaToS	ADORA2A	cardiovascular system; nervous system					inhibition of platelet aggregation; antiinflammation; neuroprotective effects; coronary vasodilation; decreased blood pressure; increased plasma renin activity; sleep induction				increased platelet aggregation; hypertension; nervousness (tremors, agitation); arousal; insomnia; cerebral and coronary vasodilation (in microvessels only)		
Lynch et al. (2017)	ADORA2B	immune; peripheral nervous system		increased/decreased inflammation				increased/decreased inflammation; decreased pain					
Lynch et al. (2017)	ADORA3	nervous system; respiratory		decreased pain; decreased convulsions; decreased locomotor activity; increased bronchoconstriction				increased convulsions					
Urban et al. (2012); HeCaToS	ADORA3	cardiovascular system; immune					immunosuppression; hypotension; antiischaemic (cardioprotective); proischemic (cerebral); cell necrosis; cell proliferation; angiogenesis				myocardial ischemia (inferred by author); proinflammatory effects (inferred by author); hypertension (inferred by author); interference with the regulation of cell growth (inferred by author)		
Bowes et al. (2012)	ADRA1A	cardiovascular system; gastrointestinal; central nervous system					smooth muscle contraction; increased blood pressure; cardiac positive ionotropy; potential for arrhythmia; mydriasis; decreased insulin release				decreased smooth muscle tone; orthostatic hypotension; increased heart rate; dizziness; impact on various aspects of sexual function		
Lynch et al. (2017)	ADRA1A	cardiovascular		increased blood pressure; increased cardiac contractility; cardiac arrhythmia; vascular hypertrophy; increased pupil diameter				decreased blood pressure; increased heart rate; orthostatic hypotension; chronic heart failure; dizziness; retrograde ejaculation					
Urban et al. (2012); HeCaToS	ADRA1A	cardiovascular system; gastrointestinal					smooth-muscle contraction (prostate in particular, effects on the lower urinary tract); cardiac positive ionotropy; arrhythmia				orthostatic hypotension; other bloodpressure- related adverse effects; impact on various aspects of sexual function		
Lynch et al. (2017)	ADRA1B	cardiovascular; nervous system; renal		decreased blood pressure; orthostatic hypotension; cardiac hypertrophy; convulsions; decreased locomotor activity; neurodegeneration				decreased blood pressure					
Bowes et al. (2012)	ADRA2A	cardiovascular system; central nervous system					decreased noradrenaline release and sympathetic neurotransmission; decreased blood pressure; decreased heart rate; mydriasis; sedation				increased gastrointestinal motility; increased insulin secretion		
Lynch et al. (2017)	ADRA2A	cardiovascular; nervous system; gastrointestinal; pancreas		decreased blood pressure; decreased heart rate; sedation; decreased pain; decreased memory; increased pupil diameter; decreased body temperature; decreased gastric emptying; decreased blood insulin				increased heart rate; increased gastrointestinal transit; increased convulsions; increased blood insulin					
Urban et al. (2012); HeCaToS	ADRA2A	cardiovascular system; nervous system					sedation; analgesia; anesthetic-sparing effect; central hypotension (reduction of blood pressure and heart rate); hypothermia; hyperglycemia; memory impairment; weight gain				may induce gastrointestinal prokinetic effects		
Lynch et al. (2017)	ADRA2B	cardiovascular; nervous system		increased blood pressure; increased heart rate; cardiac ischemia; increased heart failure; decreased pain; sedation; skeletal muscle tremor				decreased blood pressure		decreased survival			
