ensembl_gene_id,dcs_target_list,pm_target_list,adverse_effects_symbol,adverse_effects_target_list,safety_risk_symbol,safety_risk_target_list,on_platform_qc,on_platform_production
ENSG00000003400,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000004468,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000006071,Yes,No,ABCC8,Yes,n/a,No,Yes,Yes
ENSG00000006606,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000006638,Yes,Yes,TBXA2R,Yes,n/a,No,Yes,Yes
ENSG00000007372,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000007908,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000010671,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000010810,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000011422,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000011677,Yes,No,GABRA3,Yes,n/a,No,Yes,Yes
ENSG00000012504,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000018625,Yes,No,ATP1A2,Yes,n/a,No,Yes,Yes
ENSG00000022355,Yes,No,GABRA1,Yes,n/a,No,Yes,Yes
ENSG00000023839,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000025434,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000037280,Yes,Yes,n/a,No,FLT4,Yes,Yes,Yes
ENSG00000043591,Yes,Yes,ADRB1,Yes,n/a,No,Yes,Yes
ENSG00000050748,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000053918,Yes,No,KCNQ1,Yes,n/a,No,Yes,Yes
ENSG00000055118,Yes,Yes,KCNH2,Yes,n/a,No,Yes,Yes
ENSG00000062524,Yes,No,n/a,No,LTK,Yes,Yes,Yes
ENSG00000064012,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000064989,Yes,No,CALCRL,Yes,n/a,No,Yes,Yes
ENSG00000065675,Yes,No,n/a,No,PRKCQ,Yes,Yes,Yes
ENSG00000065989,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000067182,Yes,No,TNFRSF1A,Yes,n/a,No,Yes,Yes
ENSG00000067606,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000067900,Yes,Yes,n/a,No,ROCK1,Yes,Yes,Yes
ENSG00000068078,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000068903,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000069431,Yes,No,ABCC9,Yes,n/a,No,Yes,Yes
ENSG00000069667,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000069696,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000069849,Yes,No,ATP1B3,Yes,n/a,No,Yes,Yes
ENSG00000070808,Yes,No,n/a,No,CAMK2A,Yes,Yes,Yes
ENSG00000072062,Yes,Yes,n/a,No,PRKACA,Yes,Yes,Yes
ENSG00000072310,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000073734,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000073756,Yes,No,PTGS2,Yes,n/a,No,Yes,Yes
